task,folder,explained_model_backbone,eval_tokens,eval_metric,metric_result
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_alti_1712078339_metric_EVAL_LOG_ODDS,BERT,NO_CLS,EVAL_LOG_ODDS,-1.496593418282704
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_alti_1712078339_metric_EVAL_LOG_ODDS,BERT,NO_SPECIAL_TOKENS,EVAL_LOG_ODDS,-1.455160343417083
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_alti_1712078339_metric_SUFFICIENCY,BERT,ALL_TOKENS,SUFFICIENCY,0.04083966590464115
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_alti_1712078339_metric_SUFFICIENCY,BERT,NO_CLS,SUFFICIENCY,0.04224608288705349
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_alti_1712078339_metric_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,SUFFICIENCY,0.043527078911662104
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_AOPC_COMPREHENSIVENESS,BERT,ALL_TOKENS,AOPC_COMPREHENSIVENESS,0.09199410948281485
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_AOPC_COMPREHENSIVENESS,BERT,NO_CLS,AOPC_COMPREHENSIVENESS,0.0891097940020263
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_AOPC_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,AOPC_COMPREHENSIVENESS,0.09235853842273352
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_AOPC_SUFFICIENCY,BERT,ALL_TOKENS,AOPC_SUFFICIENCY,0.10108522894233464
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_AOPC_SUFFICIENCY,BERT,NO_CLS,AOPC_SUFFICIENCY,0.1037217133839925
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_AOPC_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,AOPC_SUFFICIENCY,0.1038527440826098
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_COMPREHENSIVENESS,BERT,ALL_TOKENS,COMPREHENSIVENESS,0.13051417972147464
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_COMPREHENSIVENESS,BERT,NO_CLS,COMPREHENSIVENESS,0.12808850054442883
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,COMPREHENSIVENESS,0.12721599093079566
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_EVAL_LOG_ODDS,BERT,ALL_TOKENS,EVAL_LOG_ODDS,-0.7183713255428156
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_EVAL_LOG_ODDS,BERT,NO_CLS,EVAL_LOG_ODDS,-0.7232042656003614
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_EVAL_LOG_ODDS,BERT,NO_SPECIAL_TOKENS,EVAL_LOG_ODDS,-0.6728890399475931
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_SUFFICIENCY,BERT,ALL_TOKENS,SUFFICIENCY,0.10988804896175862
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_SUFFICIENCY,BERT,NO_CLS,SUFFICIENCY,0.11215750123560429
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_decompX_1712072624_metric_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,SUFFICIENCY,0.11138852094113827
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_AOPC_COMPREHENSIVENESS,BERT,ALL_TOKENS,AOPC_COMPREHENSIVENESS,0.051188358950118217
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_AOPC_COMPREHENSIVENESS,BERT,NO_CLS,AOPC_COMPREHENSIVENESS,0.05071754612028598
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_AOPC_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,AOPC_COMPREHENSIVENESS,0.0504568929473559
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_AOPC_SUFFICIENCY,BERT,ALL_TOKENS,AOPC_SUFFICIENCY,0.21905844933539625
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_AOPC_SUFFICIENCY,BERT,NO_CLS,AOPC_SUFFICIENCY,0.22165748183677592
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_AOPC_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,AOPC_SUFFICIENCY,0.22208718886474768
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_COMPREHENSIVENESS,BERT,ALL_TOKENS,COMPREHENSIVENESS,0.08002069248259068
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_COMPREHENSIVENESS,BERT,NO_CLS,COMPREHENSIVENESS,0.07786520139873028
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,COMPREHENSIVENESS,0.07688720862567425
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_EVAL_LOG_ODDS,BERT,ALL_TOKENS,EVAL_LOG_ODDS,-0.4241216457619594
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_EVAL_LOG_ODDS,BERT,NO_CLS,EVAL_LOG_ODDS,-0.4096741303311137
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_EVAL_LOG_ODDS,BERT,NO_SPECIAL_TOKENS,EVAL_LOG_ODDS,-0.4081892469323939
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_SUFFICIENCY,BERT,ALL_TOKENS,SUFFICIENCY,0.23477935422956944
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_SUFFICIENCY,BERT,NO_CLS,SUFFICIENCY,0.24233084355294704
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_deep_lift_1712039053_metric_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,SUFFICIENCY,0.25018372340500356
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_AOPC_COMPREHENSIVENESS,BERT,ALL_TOKENS,AOPC_COMPREHENSIVENESS,0.034572597164660684
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_AOPC_COMPREHENSIVENESS,BERT,NO_CLS,AOPC_COMPREHENSIVENESS,0.03371405055870612
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_AOPC_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,AOPC_COMPREHENSIVENESS,0.032089909565945464
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_AOPC_SUFFICIENCY,BERT,ALL_TOKENS,AOPC_SUFFICIENCY,0.31385956472655135
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_AOPC_SUFFICIENCY,BERT,NO_CLS,AOPC_SUFFICIENCY,0.31988317054758464
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_AOPC_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,AOPC_SUFFICIENCY,0.33419384285559256
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_COMPREHENSIVENESS,BERT,ALL_TOKENS,COMPREHENSIVENESS,0.026125678397715096
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_COMPREHENSIVENESS,BERT,NO_CLS,COMPREHENSIVENESS,0.023970390826463708
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,COMPREHENSIVENESS,0.024325498357415206
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_EVAL_LOG_ODDS,BERT,ALL_TOKENS,EVAL_LOG_ODDS,-0.12187679828994442
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_EVAL_LOG_ODDS,BERT,NO_CLS,EVAL_LOG_ODDS,-0.11430991053009347
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_EVAL_LOG_ODDS,BERT,NO_SPECIAL_TOKENS,EVAL_LOG_ODDS,-0.10637848971445055
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_SUFFICIENCY,BERT,ALL_TOKENS,SUFFICIENCY,0.45663624347746373
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_SUFFICIENCY,BERT,NO_CLS,SUFFICIENCY,0.4576439176052809
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_1712083262_metric_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,SUFFICIENCY,0.4876810582727194
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_AOPC_COMPREHENSIVENESS,BERT,ALL_TOKENS,AOPC_COMPREHENSIVENESS,0.12665049123764036
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_AOPC_COMPREHENSIVENESS,BERT,NO_CLS,AOPC_COMPREHENSIVENESS,0.12566860891381898
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_AOPC_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,AOPC_COMPREHENSIVENESS,0.11719915108134346
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_AOPC_SUFFICIENCY,BERT,ALL_TOKENS,AOPC_SUFFICIENCY,0.07376309698323408
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_AOPC_SUFFICIENCY,BERT,NO_CLS,AOPC_SUFFICIENCY,0.07387200570106504
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_AOPC_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,AOPC_SUFFICIENCY,0.07565442879249651
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_COMPREHENSIVENESS,BERT,ALL_TOKENS,COMPREHENSIVENESS,0.1557229021936655
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_COMPREHENSIVENESS,BERT,NO_CLS,COMPREHENSIVENESS,0.1556979006230831
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,COMPREHENSIVENESS,0.14948743668198583
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_EVAL_LOG_ODDS,BERT,ALL_TOKENS,EVAL_LOG_ODDS,-0.8278527500618947
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_EVAL_LOG_ODDS,BERT,NO_CLS,EVAL_LOG_ODDS,-0.8680418184611626
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_EVAL_LOG_ODDS,BERT,NO_SPECIAL_TOKENS,EVAL_LOG_ODDS,-0.8191935244342894
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_SUFFICIENCY,BERT,ALL_TOKENS,SUFFICIENCY,0.0695178104788065
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_SUFFICIENCY,BERT,NO_CLS,SUFFICIENCY,0.07104237246513366
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_glob_enc_dim_0_1712087387_metric_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,SUFFICIENCY,0.07280228757858276
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_AOPC_COMPREHENSIVENESS,BERT,ALL_TOKENS,AOPC_COMPREHENSIVENESS,0.08688862890625991
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_AOPC_COMPREHENSIVENESS,BERT,NO_CLS,AOPC_COMPREHENSIVENESS,0.08492981264119345
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_AOPC_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,AOPC_COMPREHENSIVENESS,0.08268172414725024
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_AOPC_SUFFICIENCY,BERT,ALL_TOKENS,AOPC_SUFFICIENCY,0.16383452841142812
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_AOPC_SUFFICIENCY,BERT,NO_CLS,AOPC_SUFFICIENCY,0.16448635228723285
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_AOPC_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,AOPC_SUFFICIENCY,0.1652504051700234
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_COMPREHENSIVENESS,BERT,ALL_TOKENS,COMPREHENSIVENESS,0.13022583669424057
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_COMPREHENSIVENESS,BERT,NO_CLS,COMPREHENSIVENESS,0.1262091401219368
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,COMPREHENSIVENESS,0.12360303127765654
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_EVAL_LOG_ODDS,BERT,ALL_TOKENS,EVAL_LOG_ODDS,-0.7583723290948401
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_EVAL_LOG_ODDS,BERT,NO_CLS,EVAL_LOG_ODDS,-0.7418420617971715
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_EVAL_LOG_ODDS,BERT,NO_SPECIAL_TOKENS,EVAL_LOG_ODDS,-0.7207938509178493
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_SUFFICIENCY,BERT,ALL_TOKENS,SUFFICIENCY,0.21716992476582528
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_SUFFICIENCY,BERT,NO_CLS,SUFFICIENCY,0.2192044769525528
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_gradient_shap_1712043083_metric_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,SUFFICIENCY,0.21805800600349903
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_AOPC_COMPREHENSIVENESS,BERT,ALL_TOKENS,AOPC_COMPREHENSIVENESS,0.07103923673182724
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_AOPC_COMPREHENSIVENESS,BERT,NO_CLS,AOPC_COMPREHENSIVENESS,0.0702016472890973
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_AOPC_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,AOPC_COMPREHENSIVENESS,0.06373645127564667
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_AOPC_SUFFICIENCY,BERT,ALL_TOKENS,AOPC_SUFFICIENCY,0.15448480222374197
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_AOPC_SUFFICIENCY,BERT,NO_CLS,AOPC_SUFFICIENCY,0.15645581904798744
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_AOPC_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,AOPC_SUFFICIENCY,0.15726865454266467
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_COMPREHENSIVENESS,BERT,ALL_TOKENS,COMPREHENSIVENESS,0.09986415697634218
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_COMPREHENSIVENESS,BERT,NO_CLS,COMPREHENSIVENESS,0.09953012005984782
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,COMPREHENSIVENESS,0.09096774606406688
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_EVAL_LOG_ODDS,BERT,ALL_TOKENS,EVAL_LOG_ODDS,-0.5469664839572215
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_EVAL_LOG_ODDS,BERT,NO_CLS,EVAL_LOG_ODDS,-0.5422303727628897
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_EVAL_LOG_ODDS,BERT,NO_SPECIAL_TOKENS,EVAL_LOG_ODDS,-0.4692753020021919
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_SUFFICIENCY,BERT,ALL_TOKENS,SUFFICIENCY,0.1488080108165741
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_SUFFICIENCY,BERT,NO_CLS,SUFFICIENCY,0.15303598535060883
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_input_x_gradient_1712051640_metric_SUFFICIENCY,BERT,NO_SPECIAL_TOKENS,SUFFICIENCY,0.15907942114770413
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_integrated_gradients_1712055632_metric_AOPC_COMPREHENSIVENESS,BERT,ALL_TOKENS,AOPC_COMPREHENSIVENESS,0.1280493312478065
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_integrated_gradients_1712055632_metric_AOPC_COMPREHENSIVENESS,BERT,NO_CLS,AOPC_COMPREHENSIVENESS,0.12458844522883493
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_integrated_gradients_1712055632_metric_AOPC_COMPREHENSIVENESS,BERT,NO_SPECIAL_TOKENS,AOPC_COMPREHENSIVENESS,0.12152918589611847
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_integrated_gradients_1712055632_metric_AOPC_SUFFICIENCY,BERT,ALL_TOKENS,AOPC_SUFFICIENCY,0.07238503658523161
agn,_home_yonatanto_work_theza_EXPLAINABILITY_EXP_BASELINES_V002_runs_baselines_OUT_agn_BERT_integrated_gradients_1712055632_metric_AOPC_SUFFICIENCY,BERT,NO_CLS,AOPC_SUFFICIENCY,0.07346380194028218
